Date : 2022-12-26 20:32:45
Directory : c:\Users\ferna\Documents\Desarrollo\SIMR
Total : 517 files,  81252 codes, 26362 comments, 11502 blanks, all 119116 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\fondos.client.module.js                                         | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\services\fondos.client.service.js                               | JavaScript |         10 |          3 |          2 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\views\create-fondo.client.view.html                             | HTML       |        124 |         14 |         10 |        148 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\views\edit-fondo.client.view.html                               | HTML       |        124 |         15 |          9 |        148 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\views\list-fondo.client.view.html                               | HTML       |         62 |          5 |         11 |         78 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\views\view-fondo.client.view.html                               | HTML       |         43 |          5 |          6 |         54 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\funcionesGenerales.js                                                  | JavaScript |        137 |         10 |         17 |        164 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\config\generos.client.routes.js                                | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\controllers\generos.client.controller.js                       | JavaScript |      1,273 |         92 |         83 |      1,448 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\generos.client.module.js                                       | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\services\generos.client.service.js                             | JavaScript |         18 |          2 |          2 |         22 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\views\create-genero.client.view.html                           | HTML       |        562 |         52 |         75 |        689 |
