"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "Less", "SCSS", "YAML", "XML", "comment", "blank", "total"
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\funcionesGenerales.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 164
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\config\generos.client.routes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\controllers\generos.client.controller.js", "JavaScript", 1273, 0, 0, 0, 0, 0, 0, 0, 0, 92, 83, 1448
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\generos.client.module.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\services\generos.client.service.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 22
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\views\create-genero.client.view.html", "HTML", 0, 0, 0, 562, 0, 0, 0, 0, 0, 52, 75, 689
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\views\edit-genero.client.view.html", "HTML", 0, 0, 0, 574, 0, 0, 0, 0, 0, 53, 75, 702
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\views\list-genero.client.view.html", "HTML", 0, 0, 0, 74, 0, 0, 0, 0, 0, 5, 11, 90
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\views\view-genero.client.view.html", "HTML", 0, 0, 0, 77, 0, 0, 0, 0, 0, 5, 20, 102
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\config\generosnomusicales.client.routes.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 25
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\controllers\generosnomusicales.client.controller.js", "JavaScript", 979, 0, 0, 0, 0, 0, 0, 0, 0, 75, 58, 1112
